health_condition,area_code,area_name,fiscal_start_date,admissions,population,standardised_rate,,
COPD,E05011118,Acocks Green,2019-04-06,95,12265,890.1 ,,
COPD,E05011119,Allens Cross,2019-04-06,50,5900,942.8 ,,
COPD,E05011120,Alum Rock,2019-04-06,45,10950,729.4 ,,
COPD,E05011121,Aston,2019-04-06,30,10330,461.9 ,,
COPD,E05011122,Balsall Heath West,2019-04-06,25,5290,591.5 ,,
COPD,E05011123,Bartley Green,2019-04-06,90,12140,816.8 ,,
COPD,E05011124,Billesley,2019-04-06,80,11125,788.8 ,,
COPD,E05011125,Birchfield,2019-04-06,20,5645,434.4 ,,
COPD,E05011126,Bordesley & Highgate,2019-04-06,15,5320,632.6 ,,
COPD,E05011127,Bordesley Green,2019-04-06,25,5250,752.8 ,,
COPD,E05011128,Bournbrook & Selly Park,2019-04-06,15,5095,371.4 ,,
COPD,E05011129,Bournville & Cotteridge,2019-04-06,55,10975,473.6 ,,
COPD,E05011130,Brandwood & King's Heath,2019-04-06,55,10710,574.4 ,,
COPD,E05011131,Bromford & Hodge Hill,2019-04-06,65,10210,755.3 ,,
COPD,E05011132,Castle Vale,2019-04-06,40,5270,756.0 ,,
COPD,E05011133,Druids Heath & Monyhull,2019-04-06,45,6155,756.3 ,,
COPD,E05011134,Edgbaston,2019-04-06,10,7965,125.3 ,,
COPD,E05011135,Erdington,2019-04-06,60,11545,572.5 ,,
COPD,E05011136,Frankley Great Park,2019-04-06,70,6610,1160.4 ,,
COPD,E05011137,Garretts Green,2019-04-06,35,5345,695.5 ,,
COPD,E05011138,Glebe Farm & Tile Cross,2019-04-06,85,11375,906.9 ,,
COPD,E05011139,Gravelly Hill,2019-04-06,30,5230,736.0 ,,
COPD,E05011140,Hall Green North,2019-04-06,55,11885,569.4 ,,
COPD,E05011141,Hall Green South,2019-04-06,10,6175,179.9 ,,
COPD,E05011142,Handsworth,2019-04-06,15,5535,409.3 ,,
COPD,E05011143,Handsworth Wood,2019-04-06,45,10545,449.8 ,,
COPD,E05011144,Harborne,2019-04-06,85,11950,757.3 ,,
COPD,E05011145,Heartlands,2019-04-06,35,5475,915.3 ,,
COPD,E05011146,Highter's Heath,2019-04-06,30,5920,551.0 ,,
COPD,E05011147,Holyhead,2019-04-06,15,5320,365.8 ,,
COPD,E05011148,King's Norton North,2019-04-06,25,6620,368.5 ,,
COPD,E05011149,King's Norton South,2019-04-06,70,5810,1305.7 ,,
COPD,E05011150,Kingstanding,2019-04-06,110,10900,1110.5 ,,
COPD,E05011151,Ladywood,2019-04-06,40,8835,752.6 ,,
COPD,E05011152,Longbridge & West Heath,2019-04-06,115,11955,951.8 ,,
COPD,E05011153,Lozells,2019-04-06,20,5005,732.7 ,,
COPD,E05011154,Moseley,2019-04-06,40,12045,357.4 ,,
COPD,E05011155,Nechells,2019-04-06,40,4960,1268.0 ,,
COPD,E05011156,Newtown,2019-04-06,20,4915,729.7 ,,
COPD,E05011157,North Edgbaston,2019-04-06,30,10615,372.4 ,,
COPD,E05011158,Northfield,2019-04-06,35,6210,575.4 ,,
COPD,E05011159,Oscott,2019-04-06,60,10990,542.2 ,,
COPD,E05011160,Perry Barr,2019-04-06,50,11050,486.7 ,,
COPD,E05011161,Perry Common,2019-04-06,80,6375,1237.8 ,,
COPD,E05011162,Pype Hayes,2019-04-06,60,5990,1086.1 ,,
COPD,E05011163,Quinton,2019-04-06,75,11990,649.5 ,,
COPD,E05011164,Rubery & Rednal,2019-04-06,45,5510,863.6 ,,
COPD,E05011165,Shard End,2019-04-06,60,6215,1005.3 ,,
COPD,E05011166,Sheldon,2019-04-06,80,11080,770.1 ,,
COPD,E05011167,Small Heath,2019-04-06,30,8955,497.7 ,,
COPD,E05011168,Soho & Jewellery Quarter,2019-04-06,30,10005,508.1 ,,
COPD,E05011169,South Yardley,2019-04-06,20,5665,426.5 ,,
COPD,E05011170,Sparkbrook & Balsall Heath East,2019-04-06,40,11205,493.8 ,,
COPD,E05011171,Sparkhill,2019-04-06,25,9180,394.6 ,,
COPD,E05011172,Stirchley,2019-04-06,30,5365,695.2 ,,
COPD,E05011173,Stockland Green,2019-04-06,85,11645,942.7 ,,
COPD,E05011174,Sutton Four Oaks,2019-04-06,15,6145,220.4 ,,
COPD,E05011175,Sutton Mere Green,2019-04-06,15,6440,244.4 ,,
COPD,E05011176,Sutton Reddicap,2019-04-06,25,5650,494.7 ,,
COPD,E05011177,Sutton Roughley,2019-04-06,25,7305,329.5 ,,
COPD,E05011178,Sutton Trinity,2019-04-06,10,5890,111.3 ,,
COPD,E05011179,Sutton Vesey,2019-04-06,40,12695,277.0 ,,
COPD,E05011180,Sutton Walmley & Minworth,2019-04-06,30,10535,252.8 ,,
COPD,E05011181,Sutton Wylde Green,2019-04-06,20,6220,269.1 ,,
COPD,E05011182,Tyseley & Hay Mills,2019-04-06,50,5130,1354.5 ,,
COPD,E05011183,Ward End,2019-04-06,30,5460,945.3 ,,
