site_id,no2,date,time
UKA00559,6.91943,01/01/2018,01:00:00
UKA00559,4.9361,01/01/2018,02:00:00
UKA00559,4.70531,01/01/2018,03:00:00
UKA00559,2.05204,01/01/2018,04:00:00
UKA00559,2.05068,01/01/2018,05:00:00
UKA00559,2.20506,01/01/2018,06:00:00
UKA00559,5.67248,01/01/2018,07:00:00
UKA00559,6.14995,01/01/2018,08:00:00
UKA00559,9.08481,01/01/2018,09:00:00
UKA00559,11.91765,01/01/2018,10:00:00
UKA00559,10.72669,01/01/2018,11:00:00
UKA00559,10.8355,01/01/2018,12:00:00
UKA00559,12.95695,01/01/2018,13:00:00
UKA00559,8.91684,01/01/2018,14:00:00
UKA00559,10.05062,01/01/2018,15:00:00
UKA00559,10.24242,01/01/2018,16:00:00
UKA00559,6.62878,01/01/2018,17:00:00
UKA00559,6.78452,01/01/2018,18:00:00
UKA00559,6.10166,01/01/2018,19:00:00
UKA00559,5.278,01/01/2018,20:00:00
UKA00559,5.85749,01/01/2018,21:00:00
UKA00559,6.38869,01/01/2018,22:00:00
UKA00559,6.29618,01/01/2018,23:00:00
UKA00559,3.87757,01/01/2018,24:00:00
UKA00559,2.93804,02/01/2018,01:00:00
UKA00559,2.92889,02/01/2018,02:00:00
UKA00559,3.16111,02/01/2018,03:00:00
UKA00559,2.86999,02/01/2018,04:00:00
UKA00559,4.94649,02/01/2018,05:00:00
UKA00559,9.2899,02/01/2018,06:00:00
UKA00559,16.65915,02/01/2018,07:00:00
UKA00559,25.66917,02/01/2018,08:00:00
UKA00559,29.5711,02/01/2018,09:00:00
UKA00559,31.72934,02/01/2018,10:00:00
UKA00559,25.73993,02/01/2018,11:00:00
UKA00559,18.11799,02/01/2018,12:00:00
UKA00559,19.33486,02/01/2018,13:00:00
UKA00559,20.23566,02/01/2018,14:00:00
UKA00559,19.7223,02/01/2018,15:00:00
UKA00559,21.96837,02/01/2018,16:00:00
UKA00559,16.47422,02/01/2018,17:00:00
UKA00559,15.78443,02/01/2018,18:00:00
UKA00559,30.41537,02/01/2018,19:00:00
UKA00559,10.62008,02/01/2018,20:00:00
UKA00559,7.873,02/01/2018,21:00:00
UKA00559,5.52597,02/01/2018,22:00:00
UKA00559,4.27316,02/01/2018,23:00:00
UKA00559,1.61718,02/01/2018,24:00:00
UKA00559,1.06317,03/01/2018,01:00:00
UKA00559,0.99878,03/01/2018,02:00:00
UKA00559,0.26895,03/01/2018,03:00:00
UKA00559,0.46212,03/01/2018,04:00:00
UKA00559,0.46212,03/01/2018,05:00:00
UKA00559,1.1837,03/01/2018,06:00:00
UKA00559,2.28607,03/01/2018,07:00:00
UKA00559,3.83276,03/01/2018,08:00:00
UKA00559,4.45776,03/01/2018,09:00:00
UKA00559,3.58437,03/01/2018,10:00:00
UKA00559,3.67402,03/01/2018,11:00:00
UKA00559,4.8799,03/01/2018,12:00:00
UKA00559,4.10309,03/01/2018,13:00:00
UKA00559,4.15138,03/01/2018,14:00:00
UKA00559,6.42797,03/01/2018,15:00:00
UKA00559,9.48137,03/01/2018,16:00:00
UKA00559,8.12785,03/01/2018,17:00:00
UKA00559,10.82797,03/01/2018,18:00:00
UKA00559,8.75979,03/01/2018,19:00:00
UKA00559,7.98021,03/01/2018,20:00:00
UKA00559,7.35658,03/01/2018,21:00:00
UKA00559,6.92751,03/01/2018,22:00:00
UKA00559,6.01138,03/01/2018,23:00:00
UKA00559,4.36257,03/01/2018,24:00:00
UKA00559,3.31642,04/01/2018,01:00:00
UKA00559,2.35247,04/01/2018,02:00:00
UKA00559,1.96172,04/01/2018,03:00:00
UKA00559,3.01851,04/01/2018,04:00:00
UKA00559,4.26987,04/01/2018,05:00:00
UKA00559,8.35917,04/01/2018,06:00:00
UKA00559,20.65018,04/01/2018,07:00:00
UKA00559,28.50896,04/01/2018,08:00:00
UKA00559,26.89157,04/01/2018,09:00:00
UKA00559,21.5677,04/01/2018,10:00:00
UKA00559,24.1516,04/01/2018,11:00:00
UKA00559,9.7554,04/01/2018,12:00:00
UKA00559,5.37076,04/01/2018,13:00:00
UKA00559,6.28548,04/01/2018,14:00:00
UKA00559,5.75008,04/01/2018,15:00:00
UKA00559,6.28968,04/01/2018,16:00:00
UKA00559,7.55083,04/01/2018,17:00:00
UKA00559,11.17683,04/01/2018,18:00:00
UKA00559,13.33591,04/01/2018,19:00:00
UKA00559,13.29462,04/01/2018,20:00:00
UKA00559,11.94388,04/01/2018,21:00:00
UKA00559,14.9295,04/01/2018,22:00:00
UKA00559,16.56998,04/01/2018,23:00:00
UKA00559,16.67356,04/01/2018,24:00:00
UKA00559,12.71292,05/01/2018,01:00:00
UKA00559,4.80645,05/01/2018,02:00:00
UKA00559,3.64747,05/01/2018,03:00:00
UKA00559,4.27101,05/01/2018,04:00:00
UKA00559,6.2481,05/01/2018,05:00:00
UKA00559,9.08876,05/01/2018,06:00:00
UKA00559,16.689,05/01/2018,07:00:00
UKA00559,29.80755,05/01/2018,08:00:00
UKA00559,42.61939,05/01/2018,09:00:00
