date,vehicle_type,compliant_vehicles,noncompliant_vehicles,total_vehicles
2021-06-01,Bus/Coach,565,4,569
2021-07-01,Bus/Coach,581,7,588
2021-08-01,Bus/Coach,566,7,573
2021-09-01,Bus/Coach,599,8,607
2021-10-01,Bus/Coach,582,8,590
2021-11-01,Bus/Coach,600,8,608
2021-12-01,Bus/Coach,570,7,577
2022-01-01,Bus/Coach,581,5,586
2022-02-01,Bus/Coach,599,6,605
2022-03-01,Bus/Coach,597,7,604
2022-04-01,Bus/Coach,580,7,587
2022-05-01,Bus/Coach,575,6,581
2022-06-01,Bus/Coach,557,6,563
2022-07-01,Bus/Coach,668,8,676
2022-08-01,Bus/Coach,692,7,699
2022-09-01,Bus/Coach,583,4,587
2022-10-01,Bus/Coach,603,2,605
2022-11-01,Bus/Coach,626,2,628
2022-12-01,Bus/Coach,583,2,585
2023-01-01,Bus/Coach,595,2,597
2023-02-01,Bus/Coach,597,2,599
2023-03-01,Bus/Coach,532,2,534
2023-04-01,Bus/Coach,584,2,586
2023-05-01,Bus/Coach,601,3,604
2023-06-01,Bus/Coach,637,4,641
2023-07-01,Bus/Coach,617,5,622
2023-08-01,Bus/Coach,597,3,600
2023-09-01,Bus/Coach,633,3,636
2023-10-01,Bus/Coach,643,3,646
2023-11-01,Bus/Coach,634,24,658
2023-12-01,Bus/Coach,608,3,611
2024-01-01,Bus/Coach,636,3,639
2024-02-01,Bus/Coach,650,3,653
2024-03-01,Bus/Coach,647,3,650
2024-04-01,Bus/Coach,644,2,646
2024-05-01,Bus/Coach,647,4,651
2024-06-01,Bus/Coach,647,4,651
2024-07-01,Bus/Coach,647,2,649
2024-08-01,Bus/Coach,614,1,615
2024-09-01,Bus/Coach,603,1,604
2024-10-01,Bus/Coach,615,1,616
2024-11-01,Bus/Coach,770,1,771
2024-12-01,Bus/Coach,710,2,712
2025-01-01,Bus/Coach,747,2,749
2025-02-01,Bus/Coach,762,2,764
2025-03-01,Bus/Coach,750,2,752
2025-04-01,Bus/Coach,770,0,770
2025-05-01,Bus/Coach,763,2,765
2025-06-01,Bus/Coach,791,3,794
2025-07-01,Bus/Coach,795,2,797
2025-08-01,Bus/Coach,731,2,733
2025-09-01,Bus/Coach,780,4,784
2025-10-01,Bus/Coach,778,4,782
2025-11-01,Bus/Coach,790,9,799
2025-12-01,Bus/Coach,752,8,760
2021-06-01,Car,66047,11344,77391
2021-07-01,Car,67325,8650,75975
2021-08-01,Car,67558,8316,75874
2021-09-01,Car,73697,8527,82224
2021-10-01,Car,74316,8454,82770
2021-11-01,Car,75968,8402,84370
2021-12-01,Car,70060,7854,77914
2022-01-01,Car,64100,6519,70619
2022-02-01,Car,73333,7517,80850
2022-03-01,Car,75369,7482,82851
2022-04-01,Car,71485,6975,78460
2022-05-01,Car,71734,6583,78317
2022-06-01,Car,67719,8422,76141
2022-07-01,Car,70784,5703,76487
2022-08-01,Car,72742,5835,78577
2022-09-01,Car,75726,5765,81491
2022-10-01,Car,78565,6107,84672
2022-11-01,Car,80556,6089,86645
2022-12-01,Car,73221,5721,78942
2023-01-01,Car,72058,4939,76997
2023-02-01,Car,73523,5044,78567
2023-03-01,Car,77314,5272,82586
2023-04-01,Car,75410,5203,80613
2023-05-01,Car,77346,5114,82460
2023-06-01,Car,79926,4947,84873
2023-07-01,Car,78234,4790,83024
2023-08-01,Car,74065,4423,78488
2023-09-01,Car,79618,4628,84246
2023-10-01,Car,81029,4630,85659
2023-11-01,Car,81283,4642,85925
